requirement_id,requirement_kind,title,status,mapped_tests,mapped_artifacts,coverage_status
REQ-ANALYTICS-004,analytics,Operator review completion must never be inferred automatically,passed,3,0,tests_only
REQ-ANALYTICS-005,analytics,"Replay analytics reports must distinguish static-only, missing-bag, partial, and bag-backed incidents",passed,3,0,tests_only
REQ-IMPACT-001,impact,Source changes must be classified by impacted subsystem,passed,3,0,tests_only
REQ-IMPACT-002,impact,Impacted subsystems must map to requirements and evidence artifacts where possible,passed,4,0,tests_only
REQ-IMPACT-003,impact,Replay analytics deltas must be compared against an explicit baseline when available,passed,5,0,tests_only
REQ-IMPACT-004,impact,Critical replay or safety evidence regressions must be gateable in CI,passed,4,0,tests_only
REQ-IMPACT-005,impact,Reliability impact reports must distinguish warnings from blocking failures,passed,4,0,tests_only
REQ-PROGRAMME-001,programme,Longitudinal aggregation must load every available reliability artefact deterministically,passed,4,0,tests_only
REQ-PROGRAMME-002,programme,Replay-quality trends must be deterministic and labelled when history is insufficient,passed,6,0,tests_only
REQ-PROGRAMME-003,programme,Reliability drift must be classified deterministically with documented rules,passed,5,0,tests_only
REQ-PROGRAMME-004,programme,"Governance health must roll up evidence, replay, CI, traceability, runtime, and review discipline",passed,3,0,tests_only
REQ-PROGRAMME-005,programme,"Evidence freshness must be reported, not enforced via wall-clock",passed,4,0,tests_only
REQ-PROGRAMME-006,programme,"Subsystem risk must aggregate frequency, severity, and recurrence",passed,4,0,tests_only
REQ-PROGRAMME-007,programme,Coverage evolution must preserve evidence origin labels through aggregation,passed,3,0,tests_only
REQ-PROGRAMME-008,programme,CI gate history must aggregate pass / warning / failure counts and gate volatility,passed,4,0,tests_only
REQ-PROGRAMME-009,programme,Programme review reports must distinguish missing history from regression,passed,3,0,tests_only
REQ-PROGRAMME-010,programme,Programme review CI workflow must not fail on missing live runtime evidence,passed,3,0,tests_only
REQ-EXPORT-001,export,Reviewer exports must provide CSV and JSONL outputs for the documented tables,passed,3,0,tests_only
REQ-EXPORT-002,export,"Reviewer exports must preserve evidence-origin, static-only, and missing-bag status",passed,3,0,tests_only
REQ-EXPORT-003,export,Reviewer exports must include schemas and a manifest with row counts,passed,3,0,tests_only
REQ-EXPORT-004,export,"Reviewer notebook scaffolding must not require ROS, Gazebo, Foxglove, or live runtime evidence",passed,3,0,tests_only
REQ-EXPORT-005,export,Reviewer exports must not claim safety certification or infer causality,passed,3,0,tests_only
